url	first_seen	portal	title	company	status	location
https://jobs.ashbyhq.com/1password/a9bd5514-4a61-4172-818a-fbd40caa2c0d	2026-07-15	ashby-api	Director, Product Management, Identity	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/c1002e41-2b98-43b4-9e21-a082abee2b32	2026-07-15	ashby-api	Senior Manager Implementation and Onboarding	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/5e263490-5a06-4b4e-bd08-e96725933ff3	2026-07-15	ashby-api	Director, Performance & Paid Media (AI-Native)	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/d36199e8-297a-4f96-ba4d-2ebfea5e8fd4	2026-07-15	ashby-api	Senior Campaign Manager, SaaS Manager	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/638f4a62-bf56-4b2a-91fb-77397e74a20d	2026-07-15	ashby-api	Senior Campaign Manager, Global Campaigns	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/c6fc16b0-bb5b-48f1-994d-d69e07846bc8	2026-07-15	ashby-api	Senior Product Manager, Machine Identity	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/1password/6c2a0077-6a12-47c5-b024-cf2de14a6c37	2026-07-15	ashby-api	Director, Product Marketing	1Password	added	Remote (United States | Canada)
https://jobs.ashbyhq.com/procurify/7005eec0-6942-4274-983d-6de90de8dd04	2026-07-15	ashby-api	Business Development Representative	Procurify	added	Canada Remote
https://jobs.ashbyhq.com/procurify/4ed6cefc-4f28-48ea-bb90-7e95ec97a51f	2026-07-15	ashby-api	Product Strategy & Operations Lead	Procurify	added	Canada Remote
https://jobs.ashbyhq.com/procurify/0e3d547c-01b3-4269-a8a6-a8564d6e4b58	2026-07-15	ashby-api	Marketing Operations Manager	Procurify	added	Canada Remote
https://www.eluta.ca/spl/strategy-planning-manager-06894fe0c2d8b54b5fbb10393c71b0ff?imo=4	2026-07-15	elutaca-api	Strategy Planning Manager	Eluta.ca	added	Canada
https://www.eluta.ca/spl/manager-operations-6f69113687f484c94f8e85d642f54b6f?imo=4	2026-07-15	elutaca-api	Manager, Operations	Eluta.ca	added	Vancouver
https://www.eluta.ca/spl/operations-manager-om-full-time-ft-hillcrest-place-f5acb19d5dfa9c9dd0bc14fe36c251f7?imo=4	2026-07-15	elutaca-api	Operations Manager (OM) - Full Time (FT) - Hillcrest Place	Eluta.ca	added	Canada
https://www.eluta.ca/spl/director-businessstrategy-91aa79b850c269850f6ebbf05d09d122?imo=4	2026-07-15	elutaca-api	Director, Business Strategy	Eluta.ca	added	Canada
https://4dayweek.io/job/account-director-publishing-at-kickstarter-15ddd981	2026-07-15	4dayweek-api	Account Director, Publishing	Kickstarter	added	United States, Remote
https://4dayweek.io/job/lead-medical-risk-consultant-at-qbe-insurance-group-a83fbddf	2026-07-15	4dayweek-api	Lead Medical Risk Consultant	QBE Insurance Group	added	Marblehead, United States, Remote
https://4dayweek.io/job/director-demand-generation-at-augury-cc4baf60	2026-07-15	4dayweek-api	Director, Demand Generation	Augury	added	United States, Remote
https://remoteOK.com/remote-jobs/remote-product-manager-ai-yipitdata-1134770	2026-07-15	remoteok-api	Product Manager AI	YipitData	added	US Remote
https://careers.telus.com/job/Vancouver-Senior-Strategy-Manager%2C-Strategic-Channel-Transformation-Lead-BC-V6B-0M3/603523817/	2026-07-15	successfactors-api	Senior Strategy Manager, Strategic Channel Transformation Lead	TELUS	added	Vancouver
https://careers.telus.com/job/Burnaby-Staff-Technical-Lead-Billing-Revenue-Management-BC/602337917/	2026-07-15	successfactors-api	Staff Technical Lead - Billing Revenue Management	TELUS	added	Burnaby
https://careers.telus.com/job/Vancouver-Senior-Market-Intelligence-Manager-BC-V6B-0M3/601756817/	2026-07-15	successfactors-api	Senior Market Intelligence Manager	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Project-Manager-I-Collaborative-Health-Implementation-BC-V6B-0M3/604142117/	2026-07-15	successfactors-api	Project Manager I - Collaborative Health Implementation	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Field-Construction-Manager-Outside-Plant-Focus-BC-V6B-3K9/602261117/	2026-07-15	successfactors-api	Field Construction Manager - Outside Plant Focus	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-DIRECTOR%2C-NATIONAL-RETAIL-BC-V6B-0M3/604049017/	2026-07-15	successfactors-api	DIRECTOR, NATIONAL RETAIL	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Sr-Program-Manager-BC-V6B-0M3/603915217/	2026-07-15	successfactors-api	Sr Program Manager	TELUS	added	Vancouver
https://careers.telus.com/job/Burnaby-Product-Operations-Framework-&-Process-Specialist-BC/602909317/	2026-07-15	successfactors-api	Product Operations Framework & Process Specialist	TELUS	added	Burnaby
https://careers.telus.com/job/Vancouver-Senior-Community-Investment-Manager-BC-V6B-0M3/603828217/	2026-07-15	successfactors-api	Senior Community Investment Manager	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Senior-Program-Manager-BC/602821817/	2026-07-15	successfactors-api	Senior Program Manager	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-L4-Product-Manager-Stream%2B-&-Entertainment-BC-V6B-0M3/603736717/	2026-07-15	successfactors-api	L4 Product Manager - Stream+ & Entertainment	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Manager-AI-BC/596999517/	2026-07-15	successfactors-api	Manager AI	TELUS	added	Vancouver
https://careers.telus.com/job/Vancouver-Product-Manager-Connected-Home-Hardware-testing-BC-V6B-0M3/602668617/	2026-07-15	successfactors-api	Product Manager - Connected Home Hardware testing	TELUS	added	Vancouver
https://landing.jobs/at/wellhub/marketing-growth-insights-specialist	2026-07-15	landingjobs-api	Marketing Growth Insights Specialist	Wellhub	added	BR, Remote
https://jobicy.com/jobs/146086-global-quality-and-laboratory-improvement-manager	2026-07-15	jobicy-api	Global Quality and Laboratory Improvement Manager	SGS	added	Canada
https://jobicy.com/jobs/146099-director-enterprise-product-marketing	2026-07-15	jobicy-api	Director, Enterprise Product Marketing	Instacart	added	Canada
https://www.arbeitnow.com/jobs/companies/picmondoo-gmbh/amazon-advertising-manager-ppc-langweid-am-lech-316642	2026-07-15	arbeitnow-api	Amazon Advertising Manager (PPC) (m/w/d)	Picmondoo GmbH	added	Langweid am Lech, Remote
https://www.arbeitnow.com/jobs/companies/virtual-identity-ag/senior-account-director-digital-solutions-client-partner-freiburg-im-breisgau-255525	2026-07-15	arbeitnow-api	Senior Account Director Digital Solutions / Client Partner (m/f/x)	Virtual Identity AG	added	Freiburg im Breisgau, Remote
https://www.arbeitnow.com/jobs/companies/virtual-identity-ag/senior-account-director-freiburg-im-breisgau-428560	2026-07-15	arbeitnow-api	Senior Account Director (m/f/x)	Virtual Identity AG	added	Freiburg im Breisgau, Remote
https://www.arbeitnow.com/jobs/companies/karriereguru/head-of-growth-b2c-growth-marketing-lead-maisach-150109	2026-07-15	arbeitnow-api	Head of Growth B2C / Growth Marketing Lead	karriereguru	added	Maisach, Remote
