url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/humanagency/jobs/7645051003	2026-07-06	greenhouse-api	AI Resilience Fund Manager	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657829003	2026-07-06	greenhouse-api	AI Resilience Fund Manager - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7581379003	2026-07-06	greenhouse-api	Chief of Staff	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7589006003	2026-07-06	greenhouse-api	Chief of Staff to the Managing Director of AI	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7663502003	2026-07-06	greenhouse-api	Chief of Staff - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7646763003	2026-07-06	greenhouse-api	Chief Revenue Officer	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7619322003	2026-07-06	greenhouse-api	Head of Business Development	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7668078003	2026-07-06	greenhouse-api	Managing Director of Technology	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7668368003	2026-07-06	greenhouse-api	Managing Director of Technology - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7644970003	2026-07-06	greenhouse-api	Product CEO / Venture Studio Director	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657941003	2026-07-06	greenhouse-api	Product CEO / Venture Studio Director - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/humanagency/jobs/7646018003	2026-07-06	greenhouse-api	Registered Financial Advisor	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7646045003	2026-07-06	greenhouse-api	Venture Executive	Human Agency	added	US and Canada
https://job-boards.greenhouse.io/humanagency/jobs/7657985003	2026-07-06	greenhouse-api	Venture Executive - Vancouver	Human Agency	added	Vancouver
https://job-boards.greenhouse.io/opentable/jobs/8495745002	2026-07-06	greenhouse-api	Sr. Manager, Revenue Strategy & Operations (Remote)	OpenTable	added	Vancouver, Canada
https://job-boards.greenhouse.io/marqeta/jobs/7960215	2026-07-06	greenhouse-api	Lead Product Manager, Enterprise AI & Automation	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/marqeta/jobs/6908099	2026-07-06	greenhouse-api	Senior Manager, IT Product Management	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/marqeta/jobs/7848950	2026-07-06	greenhouse-api	Senior Manager, Network Operations	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/marqeta/jobs/7940366	2026-07-06	greenhouse-api	Technical Success Manager	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/soci/jobs/5834944004	2026-07-06	greenhouse-api	Vice President, Brand and Market Strategy	SOCi	added	Toronto, Canada (Hybrid); Vancouver, Canada (Hybrid)
https://jobs.ashbyhq.com/procurify/7005eec0-6942-4274-983d-6de90de8dd04	2026-07-06	ashby-api	Business Development Representative	Procurify	added	Canada Remote
https://jobs.ashbyhq.com/procurify/4ed6cefc-4f28-48ea-bb90-7e95ec97a51f	2026-07-06	ashby-api	Product Strategy & Operations Lead	Procurify	added	Canada Remote
https://jobs.ashbyhq.com/procurify/0e3d547c-01b3-4269-a8a6-a8564d6e4b58	2026-07-06	ashby-api	Marketing Operations Manager	Procurify	added	Canada Remote
https://www.brex.com/careers/8551701002?gh_jid=8551701002	2026-07-06	greenhouse-api	BizOps Senior Manager (Technical)	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8516004002?gh_jid=8516004002	2026-07-06	greenhouse-api	Brex Rotational Program	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8433546002?gh_jid=8433546002	2026-07-06	greenhouse-api	Director of Product, Growth/AI	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8439929002?gh_jid=8439929002	2026-07-06	greenhouse-api	Director Product Management, Banking + AP	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8153310002?gh_jid=8153310002	2026-07-06	greenhouse-api	Enterprise Implementation Consultant	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8438584002?gh_jid=8438584002	2026-07-06	greenhouse-api	Group Product Manager	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8453712002?gh_jid=8453712002	2026-07-06	greenhouse-api	Manager, Account Management	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8615158002?gh_jid=8615158002	2026-07-06	greenhouse-api	Manager, CX AI Strategy	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8597895002?gh_jid=8597895002	2026-07-06	greenhouse-api	Payment Operations Analyst	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8541251002?gh_jid=8541251002	2026-07-06	greenhouse-api	Senior GRC Lead	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8433764002?gh_jid=8433764002	2026-07-06	greenhouse-api	Staff Product Manager	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8436531002?gh_jid=8436531002	2026-07-06	greenhouse-api	Staff Product Manager, Growth	Brex	added	Vancouver, British Columbia, Canada
https://www.brex.com/careers/8579209002?gh_jid=8579209002	2026-07-06	greenhouse-api	Technical Consultant I	Brex	added	Vancouver, British Columbia, Canada
